A,true,12345678910,5
A,true,12345678910,5
A,true,12345678910,5
A,false,12345678910,8
B,true,23456789101,10
B,false,23456789101,15
A,true,34567891012,20
A,false,34567891012,25
B,true,45678910123,30
B,false,45678910123,35
A,true,56789101234,40
A,false,56789101234,45
A,true,67891012345,5
A,false,67891012345,8
B,true,78910123456,10
B,false,78910123456,15
A,true,89101234567,20
A,false,89101234567,25
B,true,91012345678,30
B,false,91012345678,35
A,true,10123456789,1
A,false,10123456789,1
A,true,67891012345,5
A,false,67891012345,8
B,true,78910123456,10
B,false,78910123456,15
A,true,89101234567,20
A,false,89101234567,25
B,true,91012345678,30
B,false,91012345678,35
A,true,10123456789,1
A,false,10123456789,1
A,true,67891012345,5
A,false,67891012345,8
B,true,78910123456,10
B,false,78910123456,15
A,true,89101234567,20
A,false,89101234567,25
B,true,91012345678,30
B,false,91012345678,35
A,true,10123456789,1
A,false,10123456789,1
